alpha,CL,CD,CDp,CM,TopXtr,BotXtr
-1.762014087,0.10163551,0,0,0,0,0
-0.526316141,0.234813076,0,0,0,0,0
0.778031691,0.336448586,0,0,0,0,0
2.837528267,0.564252316,0,0,0,0,0
5.995423018,0.932242957,0,0,0,0,0
9.496567198,1.272196216,0,0,0,0,0
10.52631549,1.359813036,0,0,0,0,0
11.21281435,1.363317708,0,0,0,0,0
12.31121252,1.366822381,0,0,0,0,0
13.89015989,1.216121452,0,0,0,0,0
14.78260841,1.191588743,0,0,0,0,0
15.8123567,1.170560706,0,0,0,0,0
16.63615533,1.170560706,0,0,0,0,0
17.80320339,1.12499996,0,0,0,0,0
18.76430179,1.103971923,0,0,0,0,0